#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             1.67983             1.67983                   0
         2             1.66983             1.67483          0.00353781
         3             1.68601             1.67855           0.0038495
         4             1.69361             1.68232          0.00435449
         5              1.7079             1.68743          0.00575107
         6             1.68807             1.68754          0.00479353
         7             1.69957             1.68926           0.0044061
         8             1.68852             1.68917          0.00385631
         9             1.68236             1.68841          0.00350122
        10             1.68399             1.68797          0.00317894
        11             1.68535             1.68773          0.00289885
        12             1.68265             1.68731          0.00268796
        13             1.68066              1.6868          0.00252934
        14             1.69054             1.68706          0.00236276
        15             1.69354             1.68749           0.0022443
        16             1.70135             1.68836          0.00226485
        17             1.67489             1.68757          0.00226604
        18             1.70717             1.68866          0.00238745
        19             1.67752             1.68807          0.00233269
        20             1.69038             1.68819           0.0022189
