#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             2.52573             2.52573                   0
         2             2.47018             2.49796           0.0196369
         3             2.51683             2.50425            0.014063
         4             2.51546             2.50705           0.0108232
         5             2.58685             2.52301           0.0166951
         6             2.51621             2.52188            0.013951
         7             2.52648             2.52253           0.0119735
         8             2.52838             2.52327           0.0104991
         9             2.51319             2.52215          0.00939202
        10             2.50889             2.52082          0.00854583
        11             2.52714              2.5214          0.00778823
        12             2.54931             2.52372          0.00747856
        13             2.51101             2.52274          0.00696695
        14             2.55136             2.52479          0.00676242
        15             2.54535             2.52616          0.00644905
        16             2.56236             2.52842          0.00643057
        17             2.52758             2.52837           0.0060525
        18             2.53977               2.529          0.00574927
        19             2.47665             2.52625          0.00607108
        20             2.54286             2.52708          0.00582408
