#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.891482   -0.891482           0
           2   -0.891302   -0.891392 6.36396e-05
           3   -0.892895   -0.891893 0.000411313
           4   -0.891707   -0.891847 0.000311099
           5   -0.890568   -0.891591 0.000337968
           6   -0.892171   -0.891688 0.000295151
           7   -0.893765   -0.891984 0.000373502
           8   -0.891677   -0.891946 0.000328788
           9   -0.893541   -0.892123 0.000336658
          10   -0.893444   -0.892255 0.000327863
          11    -0.89144   -0.892181  0.00030632
          12   -0.893891   -0.892324 0.000312186
          13   -0.890468   -0.892181 0.000319128
          14   -0.894378   -0.892338 0.000332677
          15   -0.892911   -0.892376 0.000312686
          16    -0.89154   -0.892324 0.000297482
          17   -0.894605   -0.892458 0.000308773
          18   -0.890774   -0.892364 0.000305457
          19   -0.891347   -0.892311 0.000294039
          20   -0.891784   -0.892285 0.000280515
