#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.316497            0.316497                   0
         2            0.316954            0.316725         0.000161533
         3            0.317338             0.31693         0.000198503
         4            0.318096            0.317221         0.000293069
         5             0.31869            0.317515         0.000352095
         6            0.317713            0.317548          0.00029496
         7            0.318557            0.317692         0.000285867
         8            0.318262            0.317763          0.00025887
         9            0.317501            0.317734         0.000231742
        10            0.318511            0.317812         0.000221211
        11             0.31812             0.31784         0.000202862
        12            0.317695            0.317828         0.000186315
        13            0.319968            0.317992         0.000233667
        14            0.316897            0.317914         0.000229715
        15            0.316649             0.31783         0.000229371
        16            0.319694            0.317946         0.000242825
        17            0.316074            0.317836         0.000252286
        18            0.316767            0.317777         0.000245161
        19            0.315455            0.317655          0.00026095
        20            0.317623            0.317653         0.000247907
