#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.409919            0.409919                   0
         2            0.418641             0.41428          0.00308397
         3            0.417318            0.415293          0.00221603
         4            0.422435            0.417078          0.00227015
         5            0.428495            0.419362          0.00273297
         6            0.424513             0.42022          0.00240857
         7            0.425706            0.421004          0.00218829
         8            0.425425            0.421557          0.00198332
         9            0.434404            0.422984          0.00221797
        10            0.413588            0.422044          0.00218618
        11            0.427587            0.422548          0.00204468
        12            0.422539            0.422548          0.00187429
        13            0.419517            0.422314          0.00174455
        14             0.42072            0.422201          0.00162365
        15            0.432482            0.422886          0.00165377
        16            0.421871            0.422823          0.00155163
        17            0.425001            0.422951          0.00146564
        18            0.411387            0.422308          0.00151849
        19            0.426112            0.422508          0.00145171
        20            0.425577            0.422662          0.00138721
