#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.343109            0.343109                   0
         2            0.342921            0.343015         6.63352e-05
         3            0.341849            0.342626         0.000320413
         4            0.344398            0.343069          0.00045261
         5            0.345746            0.343605         0.000600266
         6            0.345203            0.343871         0.000556214
         7            0.345578            0.344115         0.000527481
         8             0.34489            0.344212          0.00047036
         9            0.344609            0.344256          0.00042016
        10            0.345442            0.344374          0.00039454
        11            0.346033            0.344525         0.000386408
        12            0.345072            0.344571         0.000356881
        13            0.346234            0.344699         0.000351609
        14            0.344192            0.344662         0.000328352
        15            0.343525            0.344587           0.0003151
        16            0.344898            0.344606         0.000296005
        17            0.343068            0.344516         0.000292088
        18            0.344183            0.344497         0.000276443
        19            0.339295            0.344223         0.000373631
        20            0.344544            0.344239         0.000355292
