#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             7.29442             7.29442                   0
         2             7.25666             7.27554           0.0133513
         3             7.41195             7.32101            0.038177
         4             7.41613             7.34479           0.0352695
         5             7.37803             7.35144           0.0288354
         6              7.2938             7.34183           0.0255795
         7             7.31233             7.33762           0.0222697
         8             7.52016             7.36043           0.0289009
         9              7.3536             7.35967           0.0256997
        10             7.52808             7.37651           0.0281107
        11             7.31439             7.37087           0.0261165
        12             7.37332             7.37107           0.0239409
        13             7.50359             7.38126           0.0241721
        14             7.54071             7.39265           0.0249848
        15             7.36839             7.39104           0.0233714
        16               7.537             7.40016           0.0236242
        17             7.38916             7.39951           0.0222434
        18             7.50577             7.40541           0.0217769
        19             7.35603             7.40282           0.0207853
        20             7.44611             7.40498           0.0198585
