#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.847771   -0.847771           0
           2   -0.848231   -0.848001 0.000162635
           3    -0.84904   -0.848347 0.000302904
           4   -0.847033   -0.848019 0.000364066
           5   -0.848851   -0.848185 0.000327118
           6   -0.848154    -0.84818 0.000272638
           7   -0.848902   -0.848283 0.000252464
           8   -0.847922   -0.848238   0.0002249
           9   -0.850059    -0.84844 0.000276326
          10   -0.849414   -0.848538 0.000265289
          11   -0.847946   -0.848484  0.00024656
          12   -0.848196    -0.84846 0.000227179
          13   -0.848502   -0.848463 0.000209727
          14    -0.84922   -0.848517 0.000201584
          15   -0.848804   -0.848536 0.000189049
          16   -0.849261   -0.848582 0.000182574
          17   -0.848024   -0.848549 0.000174757
          18    -0.84744   -0.848487 0.000175571
          19   -0.847278   -0.848424 0.000177485
          20    -0.84943   -0.848474 0.000175604
