#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.482194   -0.482194           0
           2    -0.48267   -0.482432 0.000168433
           3   -0.482634   -0.482499 0.000124953
           4     -0.4827   -0.482549 0.000103259
           5   -0.482502    -0.48254 8.30342e-05
           6   -0.482404   -0.482517 7.22227e-05
           7    -0.48324   -0.482621 0.000113876
           8   -0.482236   -0.482572 0.000109337
           9   -0.482798   -0.482598  0.00010002
          10   -0.483169   -0.482655 0.000105093
          11   -0.482843   -0.482672  9.6921e-05
          12   -0.482588   -0.482665 8.90978e-05
          13   -0.482013   -0.482615 9.53193e-05
          14   -0.483325   -0.482665 0.000101112
          15   -0.483095   -0.482694 9.83484e-05
          16   -0.482274   -0.482668 9.56471e-05
          17   -0.482883    -0.48268 9.08567e-05
          18   -0.482526   -0.482672 8.62131e-05
          19   -0.482181   -0.482646 8.54612e-05
          20   -0.482551   -0.482641 8.13206e-05
