#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             3.59672             3.59672                   0
         2             3.57444             3.58558          0.00787652
         3             3.55594              3.5757          0.00962531
         4             3.58527             3.57809          0.00751076
         5             3.60973             3.58442          0.00825491
         6             3.58701             3.58485          0.00689041
         7             3.56018             3.58133          0.00674779
         8             3.62258             3.58648          0.00762404
         9              3.5738             3.58507           0.0069059
        10             3.58744             3.58531          0.00621938
        11             3.60801             3.58737          0.00598646
        12              3.5908             3.58766          0.00549438
        13             3.57359             3.58658          0.00517723
        14             3.59601             3.58725           0.0048511
        15             3.60007             3.58811          0.00460231
        16             3.58678             3.58802          0.00431541
        17             3.60355             3.58894          0.00415716
        18             3.61908             3.59061          0.00425009
        19             3.50906             3.58632          0.00580201
        20             3.59755             3.58688          0.00553904
