#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.647131   -0.647131           0
           2   -0.646838   -0.646985  0.00010352
           3   -0.646783   -0.646918 8.81671e-05
           4   -0.646364   -0.646779 0.000136889
           5   -0.646655   -0.646754 0.000111735
           6   -0.646912   -0.646781 9.61653e-05
           7   -0.646242   -0.646704 0.000108921
           8   -0.646284   -0.646651 0.000107205
           9   -0.646576   -0.646643 9.56231e-05
          10   -0.646794   -0.646658 8.72522e-05
          11   -0.645698   -0.646571  0.00011494
          12   -0.646274   -0.646546 0.000107998
          13   -0.646255   -0.646524 0.000101988
          14   -0.646782   -0.646542 9.63527e-05
          15   -0.646082   -0.646511 9.46854e-05
          16   -0.646186   -0.646491 9.09204e-05
          17   -0.646592   -0.646497 8.57672e-05
          18   -0.646728    -0.64651 8.19531e-05
          19   -0.646532   -0.646511 7.76481e-05
          20   -0.646118   -0.646491  7.6207e-05
