#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.933814   -0.933814           0
           2   -0.936058   -0.934936 0.000793232
           3   -0.934805   -0.934892 0.000530022
           4    -0.93578   -0.935114 0.000441518
           5    -0.93573   -0.935237 0.000370025
           6   -0.936845   -0.935505 0.000393611
           7   -0.935952   -0.935569 0.000342516
           8   -0.933867   -0.935356  0.00035975
           9   -0.934062   -0.935212 0.000347354
          10   -0.937767   -0.935468 0.000395562
          11   -0.933682   -0.935306 0.000391507
          12   -0.936747   -0.935426 0.000376862
          13    -0.93106    -0.93509 0.000474467
          14    -0.93604   -0.935158 0.000445403
          15   -0.936782   -0.935266 0.000428676
          16    -0.93649   -0.935343 0.000408648
          17   -0.936548   -0.935413 0.000390717
          18   -0.934968   -0.935389 0.000369795
          19   -0.934995   -0.935368 0.000350912
          20   -0.936677   -0.935433 0.000339413
