#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.528346   -0.528346           0
           2    -0.52831   -0.528328 1.27279e-05
           3   -0.528979   -0.528545 0.000177437
           4   -0.528482   -0.528529 0.000133768
           5   -0.528623   -0.528548 0.000108333
           6   -0.528471   -0.528535 9.10273e-05
           7   -0.529316   -0.528647 0.000129402
           8   -0.528044   -0.528571 0.000133358
           9   -0.529032   -0.528622 0.000128006
          10   -0.529469   -0.528707 0.000140423
          11   -0.528662   -0.528703 0.000127717
          12   -0.528758   -0.528708 0.000117157
          13   -0.527896   -0.528645 0.000123652
          14   -0.529284   -0.528691  0.00012296
          15   -0.529414   -0.528739 0.000123843
          16   -0.528471   -0.528722 0.000117232
          17     -0.5289   -0.528733 0.000110801
          18   -0.528459   -0.528718 0.000105683
          19   -0.528333   -0.528697 0.000102038
          20   -0.528821   -0.528704 9.71228e-05
