#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.804662   -0.804662           0
           2    -0.80472   -0.804691 2.03647e-05
           3   -0.804451   -0.804611 6.67157e-05
           4   -0.804965     -0.8047 9.15307e-05
           5   -0.804544   -0.804669 7.83428e-05
           6   -0.804792   -0.804689 6.79333e-05
           7   -0.804044   -0.804597 0.000103257
           8   -0.804548   -0.804591 9.05343e-05
           9   -0.805663    -0.80471 0.000138187
          10   -0.804337   -0.804673 0.000129309
          11   -0.803475   -0.804564  0.00015682
          12    -0.80306   -0.804438 0.000187265
          13   -0.803279   -0.804349  0.00019294
          14   -0.805963   -0.804465  0.00021079
          15   -0.804439   -0.804463 0.000196744
          16   -0.804928   -0.804492 0.000186587
          17    -0.80531    -0.80454 0.000181717
          18   -0.803991    -0.80451 0.000174165
          19   -0.803332   -0.804448 0.000175672
          20   -0.805221   -0.804486 0.000171094
