#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682904   -0.682904           0
           2   -0.682822   -0.682863 2.89914e-05
           3    -0.68285   -0.682858 1.96295e-05
           4   -0.681828   -0.682601 0.000223487
           5    -0.68313   -0.682707 0.000202263
           6   -0.682656   -0.682698 0.000168726
           7   -0.681228   -0.682488 0.000242341
           8   -0.682526   -0.682493 0.000212094
           9   -0.681807   -0.682417 0.000201763
          10    -0.68251   -0.682426 0.000181805
          11   -0.681714   -0.682361 0.000176437
          12   -0.681585   -0.682297 0.000173193
          13   -0.681094   -0.682204 0.000182928
          14   -0.682914   -0.682255 0.000176759
          15   -0.681632   -0.682213 0.000169781
          16   -0.682265   -0.682216   0.0001592
          17   -0.682235   -0.682218 0.000149839
          18   -0.682146   -0.682214 0.000141568
          19   -0.682088   -0.682207  0.00013427
          20   -0.682135   -0.682203 0.000127605
