#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1             0.21318             0.21318                   0
         2            0.212395            0.212787         0.000277737
         3            0.212055            0.212543         0.000272029
         4            0.210922            0.212138         0.000406035
         5            0.212626            0.212235         0.000336338
         6            0.211913            0.212182         0.000284533
         7            0.212573            0.212238         0.000249317
         8            0.211059             0.21209         0.000258038
         9            0.210815            0.211949         0.000265437
        10            0.213767             0.21213         0.000294677
        11             0.21041            0.211974           0.0003066
        12            0.211474            0.211932         0.000283865
        13            0.213107            0.212023         0.000276042
        14            0.212309            0.212043         0.000257082
        15            0.212502            0.212074         0.000241759
        16            0.213061            0.212136         0.000234387
        17            0.210152            0.212019         0.000247937
        18            0.211681               0.212         0.000234873
        19            0.212261            0.212014         0.000222912
        20            0.212343             0.21203         0.000212373
