#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761454   -0.761454           0
           2   -0.761886    -0.76167 0.000152735
           3    -0.76218    -0.76184 0.000172147
           4   -0.761927   -0.761862 0.000130483
           5   -0.761099   -0.761709 0.000171831
           6   -0.761712    -0.76171 0.000143193
           7    -0.76094     -0.7616 0.000159452
           8   -0.761723   -0.761615 0.000140267
           9    -0.76206   -0.761665 0.000133107
          10   -0.762372   -0.761735 0.000137317
          11   -0.760555   -0.761628 0.000161388
          12    -0.76052   -0.761536 0.000172356
          13   -0.761374   -0.761523 0.000159546
          14   -0.762178    -0.76157 0.000154861
          15   -0.762538   -0.761635   0.0001574
          16   -0.762573   -0.761693 0.000158119
          17   -0.761846   -0.761702 0.000149074
          18   -0.761178   -0.761673 0.000143609
          19   -0.762062   -0.761694 0.000137504
          20    -0.76147   -0.761682 0.000131083
