#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.396374            0.396374                   0
         2            0.394104            0.395239          0.00080237
         3            0.396115            0.395531         0.000585654
         4            0.394704            0.395324         0.000474323
         5            0.396003             0.39546         0.000398431
         6            0.397457            0.395793         0.000450008
         7             0.39715            0.395987         0.000425448
         8            0.397235            0.396143         0.000399845
         9            0.397586            0.396303         0.000386259
        10            0.398888            0.396562         0.000425431
        11            0.399091            0.396792         0.000444561
        12            0.394257             0.39658         0.000454914
        13            0.398455            0.396725         0.000442197
        14            0.394044            0.396533         0.000450157
        15            0.394748            0.396414         0.000435597
        16            0.400364            0.396661         0.000473172
        17            0.398697            0.396781         0.000460247
        18            0.398151            0.396857         0.000440928
        19            0.393563            0.396683         0.000450517
        20            0.396382            0.396668         0.000428243
