#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             1.34519             1.34519                   0
         2             1.35507             1.35013          0.00349565
         3             1.37108             1.35711          0.00616094
         4             1.37058             1.36048          0.00546418
         5             1.37456              1.3633          0.00504526
         6             1.35468             1.36186          0.00440423
         7             1.37117             1.36319           0.0039709
         8             1.36678             1.36364          0.00349972
         9             1.35787               1.363          0.00316906
        10             1.35897              1.3626           0.0028777
        11             1.36304             1.36264          0.00261637
        12             1.35609             1.36209          0.00245446
        13             1.35995             1.36193          0.00227118
        14             1.35711             1.36158          0.00213483
        15             1.35986             1.36147          0.00199558
        16             1.36906             1.36194          0.00192645
        17             1.35283             1.36141          0.00188621
        18             1.36459             1.36158          0.00178969
        19              1.3455             1.36074          0.00188507
        20             1.35872             1.36063           0.0017935
