#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             5.55749             5.55749                   0
         2             5.56805             5.56277          0.00373185
         3             5.57289             5.56614          0.00371185
         4             5.61715              5.5789           0.0113892
         5             5.67779             5.59868           0.0198998
         6             5.51936             5.58546           0.0205095
         7              5.5529             5.58081           0.0180991
         8             5.70468             5.59629           0.0214617
         9             5.57667             5.59411           0.0191875
        10             5.56795             5.59149           0.0174462
        11             5.63727             5.59566            0.016349
        12             5.58282             5.59459           0.0150216
        13             5.65239             5.59903           0.0145093
        14             5.71576             5.60737           0.0156865
        15             5.64901             5.61015           0.0148843
        16             5.67047             5.61392           0.0144237
        17             5.59789             5.61297            0.013606
        18             5.70773             5.61824            0.013831
        19             5.49957             5.61199           0.0144446
        20             5.63353             5.61307           0.0137625
