#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             2.98092             2.98092                   0
         2             2.94083             2.96088           0.0141738
         3             2.96484              2.9622          0.00951037
         4             2.98321             2.96745          0.00845966
         5             3.00482             2.97492          0.00951267
         6             2.96967             2.97405          0.00796746
         7              2.9855             2.97568           0.0069953
         8             2.99338              2.9779           0.0064612
         9             2.97662             2.97775          0.00574484
        10              2.9655             2.97653          0.00529938
        11             2.98107             2.97694          0.00483365
        12             2.98867             2.97792          0.00452862
        13             2.95984             2.97653           0.0043887
        14             3.00035             2.97823          0.00439272
        15             2.99719             2.97949          0.00427791
        16             3.01366             2.98163          0.00451225
        17             2.98994             2.98212          0.00427323
        18             2.98299             2.98217           0.0040361
        19              2.8978             2.97773          0.00577068
        20             3.00031             2.97886          0.00559153
