#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.970587   -0.970587           0
           2   -0.973365   -0.971976  0.00098203
           3   -0.972891   -0.972281 0.000700431
           4   -0.975485   -0.973082  0.00087013
           5   -0.973958   -0.973257 0.000713512
           6   -0.976353   -0.973773  0.00075858
           7   -0.972828   -0.973638 0.000662107
           8   -0.974056    -0.97369 0.000581401
           9   -0.974549   -0.973786 0.000524566
          10   -0.976445   -0.974052 0.000535297
          11    -0.97193   -0.973859 0.000520224
          12   -0.974997   -0.973954 0.000485444
          13   -0.975692   -0.974087 0.000466164
          14   -0.974589   -0.974123 0.000434242
          15   -0.976502   -0.974282 0.000433283
          16   -0.975223   -0.974341 0.000410174
          17   -0.975794   -0.974426  0.00039486
          18   -0.972524   -0.974321   0.0003868
          19   -0.975616   -0.974389 0.000372403
          20   -0.973856   -0.974362 0.000354733
