#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.50451    -0.50451           0
           2   -0.504334   -0.504422 6.19426e-05
           3   -0.504633   -0.504492  7.0777e-05
           4   -0.504755   -0.504558 7.77515e-05
           5   -0.504481   -0.504543 6.37004e-05
           6   -0.504648    -0.50456 5.54688e-05
           7   -0.505228   -0.504656 0.000100346
           8   -0.504136   -0.504591 0.000106754
           9    -0.50496   -0.504632 0.000102487
          10   -0.505206   -0.504689  0.00010712
          11   -0.504808     -0.5047 9.79201e-05
          12   -0.504768   -0.504706 8.99257e-05
          13   -0.504046   -0.504655 9.62539e-05
          14   -0.505393   -0.504708 0.000102811
          15   -0.505274   -0.504745 0.000102645
          16    -0.50445   -0.504727 9.78811e-05
          17   -0.504876   -0.504736 9.25172e-05
          18   -0.504832   -0.504741 8.75317e-05
          19   -0.504062   -0.504705 8.99347e-05
          20   -0.504795    -0.50471 8.55491e-05
