#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             1.49375             1.49375                   0
         2             1.49837             1.49606          0.00163111
         3             1.51894             1.50368          0.00632115
         4             1.51907             1.50753          0.00579444
         5             1.52486               1.511          0.00557625
         6             1.50396             1.50982          0.00476851
         7              1.5249             1.51198          0.00454778
         8             1.51509             1.51237          0.00399594
         9             1.50847             1.51193          0.00357538
        10             1.51486             1.51223          0.00322982
        11             1.51091             1.51211          0.00293843
        12             1.49887               1.511          0.00289337
        13             1.50528             1.51056          0.00270411
        14             1.51055             1.51056          0.00251096
        15             1.51002             1.51053          0.00234383
        16             1.52043             1.51114          0.00227754
        17             1.49913             1.51044           0.0022505
        18              1.5209             1.51102          0.00219922
        19             1.49169                1.51          0.00230688
        20             1.51179             1.51009          0.00219326
