#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.230283            0.230283                   0
         2            0.230313            0.230298         1.03745e-05
         3            0.229735             0.23011         0.000153311
         4            0.228486            0.229704         0.000370007
         5            0.230392            0.229842         0.000320529
         6            0.229278            0.229748         0.000280531
         7            0.229861            0.229764          0.00024092
         8            0.228865            0.229652         0.000235576
         9            0.228136            0.229483         0.000262805
        10            0.231509            0.229686         0.000304763
        11            0.228022            0.229534         0.000312345
        12            0.228341            0.229435         0.000301728
        13            0.230558            0.229521         0.000290626
        14            0.229248            0.229502         0.000270521
        15            0.229734            0.229517         0.000252928
        16            0.230113            0.229555         0.000239846
        17            0.228293             0.22948          0.00023694
        18            0.229474             0.22948         0.000223777
        19            0.229788            0.229496         0.000212587
        20            0.229237            0.229483         0.000202353
