#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.435965            0.435965                   0
         2            0.437785            0.436875         0.000643447
         3            0.431946            0.435232          0.00140851
         4            0.431878            0.434393          0.00128187
         5            0.435839            0.434683          0.00105762
         6             0.44246            0.435979          0.00147548
         7            0.446013            0.437412          0.00183326
         8            0.439762            0.437706          0.00162745
         9             0.44101            0.438073          0.00148745
        10            0.443279            0.438594          0.00142689
        11            0.439157            0.438645          0.00129809
        12            0.441692            0.438899           0.0012145
        13            0.439735            0.438963          0.00112278
        14            0.437572            0.438864          0.00104697
        15            0.443974            0.439204          0.00103113
        16             0.43644            0.439032         0.000981051
        17             0.44238            0.439229         0.000942906
        18            0.439031            0.439218         0.000890587
        19            0.441246            0.439324         0.000850091
        20            0.438602            0.439288         0.000808353
