#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             75.5913             75.5913                   0
         2             78.5246             77.0579             1.03708
         3              77.905             77.3403            0.728816
         4             80.3093             78.0825            0.843799
         5             79.2038             78.3068             0.70421
         6             81.0274             78.7602            0.718134
         7             78.0472             78.6584            0.622725
         8             78.9798             78.6986            0.546179
         9             79.6175             78.8007            0.494944
        10             81.4583             79.0664            0.511851
        11             76.6842             78.8499            0.509076
        12             79.4591             78.9006            0.469178
        13             80.4659              79.021             0.44827
        14             79.6091              79.063            0.418215
        15             80.9482             79.1887            0.408781
        16             80.1924             79.2514            0.388016
        17             81.0573             79.3577            0.379454
        18              77.399             79.2489            0.373651
        19             80.5003             79.3147            0.359743
        20             78.8464             79.2913            0.342517
