#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.355541            0.355541                   0
         2            0.334862            0.345201          0.00731099
         3            0.340961            0.343788          0.00500879
         4            0.320339            0.337925           0.0063156
         5            0.336807            0.337702          0.00505644
         6            0.306323            0.332472          0.00636774
         7            0.342587            0.333917          0.00561964
         8            0.330559            0.333497          0.00493283
         9            0.328802            0.332976          0.00441223
        10            0.310621             0.33074          0.00450181
        11            0.345615            0.332092          0.00429085
        12            0.320969            0.331165          0.00403216
        13            0.311876            0.329682          0.00398567
        14            0.331613             0.32982          0.00370336
        15            0.304628             0.32814          0.00381834
        16            0.319541            0.327603          0.00361732
        17            0.315496            0.326891          0.00347393
        18            0.335233            0.327354           0.0033117
        19            0.319011            0.326915          0.00316638
        20            0.329459            0.327042          0.00301062
