#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             10.1777             10.1777                   0
         2              9.8987             10.0382           0.0986254
         3             10.1503             10.0755           0.0724812
         4             10.4136               10.16           0.0911637
         5             10.4911             10.2262           0.0939422
         6             10.0723             10.2006            0.081715
         7             10.1719             10.1965           0.0701441
         8             10.1714             10.1933           0.0614462
         9             10.4392             10.2207           0.0603881
        10             10.0686             10.2055           0.0562314
        11             10.1737             10.2026           0.0511934
        12             9.91953              10.179           0.0520783
        13              10.184             10.1794           0.0480737
        14             10.6965             10.2163           0.0570948
        15             10.4362              10.231           0.0551388
        16             10.2849             10.2343           0.0517956
        17              10.219             10.2334           0.0487567
        18             10.0901             10.2255           0.0466937
        19             10.2895             10.2289           0.0443577
        20             10.4766             10.2412           0.0438352
