#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.433653            0.433653                   0
         2            0.431391            0.432522         0.000799564
         3            0.432547             0.43253         0.000533085
         4            0.435768             0.43334         0.000807009
         5             0.43726            0.434124         0.000953176
         6            0.436504            0.434521         0.000873006
         7            0.432938            0.434294         0.000777013
         8            0.435567            0.434453         0.000695976
         9            0.441216            0.435205         0.000940544
        10            0.430721            0.434756         0.000947382
        11            0.433854            0.434674         0.000864802
        12            0.431003            0.434369         0.000845114
        13            0.434394             0.43437         0.000780107
        14            0.429947            0.434055         0.000785758
        15             0.43475            0.434101         0.000734742
        16            0.440444            0.434497         0.000788565
        17            0.441179             0.43489         0.000834391
        18            0.435363            0.434917         0.000788448
        19            0.434791             0.43491         0.000746978
        20            0.440944            0.435212         0.000768151
