#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1              14.932              14.932                   0
         2             15.0762             15.0041           0.0509852
         3             15.0588             15.0223           0.0371141
         4             14.7056             14.9431           0.0740108
         5             15.4728             15.0491            0.111723
         6             15.0322             15.0463           0.0931375
         7             15.3886             15.0952           0.0917762
         8              15.163             15.1036           0.0806952
         9             15.3634             15.1325           0.0767184
        10             15.3275              15.152           0.0714821
        11             15.2149             15.1577           0.0652117
        12             15.4175             15.1794           0.0632676
        13             15.2791              15.187           0.0588645
        14             15.5057             15.2098            0.058895
        15              15.635             15.2381           0.0614112
        16             15.4503             15.2514           0.0589866
        17              15.233             15.2503           0.0555267
        18             15.1107             15.2426           0.0529809
        19             15.3637             15.2489           0.0505749
        20             15.3184             15.2524           0.0481651
