#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.417393            0.417393                   0
         2            0.414633            0.416013         0.000975858
         3             0.42221            0.418079          0.00180772
         4            0.417155            0.417848          0.00137047
         5            0.417909             0.41786          0.00109643
         6            0.419692            0.418166         0.000955244
         7            0.417706              0.4181         0.000821032
         8            0.426968            0.419209          0.00126149
         9            0.422975            0.419627          0.00118872
        10            0.421082            0.419772          0.00107872
        11            0.419978            0.419791         0.000980813
        12            0.416721            0.419535         0.000931853
        13            0.421782            0.419708         0.000876057
        14            0.413836            0.419289          0.00090835
        15            0.419233            0.419285           0.0008478
        16            0.422701            0.419499         0.000821254
        17            0.423058            0.419708         0.000799195
        18            0.421513            0.419808          0.00076106
        19            0.416837            0.419652         0.000736897
        20             0.41965            0.419652         0.000700052
