#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.721368   -0.721368           0
           2   -0.721299   -0.721333 2.43245e-05
           3    -0.72162   -0.721429 7.97237e-05
           4   -0.720694   -0.721245 0.000169954
           5   -0.720954   -0.721187 0.000145569
           6   -0.720704   -0.721107 0.000141795
           7     -0.7202   -0.720977 0.000170688
           8   -0.721092   -0.720991  0.00014996
           9   -0.720968   -0.720989 0.000133321
          10   -0.720776   -0.720968 0.000121676
          11   -0.719768   -0.720858 0.000151835
          12   -0.719838   -0.720773 0.000161231
          13   -0.719493   -0.720675 0.000176375
          14   -0.721292   -0.720719 0.000169187
          15   -0.720912   -0.720732 0.000158395
          16   -0.721327   -0.720769 0.000152798
          17   -0.720901   -0.720777 0.000144006
          18   -0.720277   -0.720749 0.000138659
          19   -0.720442   -0.720733 0.000132301
          20     -0.7201   -0.720701  0.00012941
