#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             43.0036             43.0036                   0
         2             44.8129             43.9083            0.639675
         3             44.1847             44.0004            0.433035
         4             44.5181             44.1298            0.343576
         5             45.0149             44.3068            0.317203
         6             45.5779             44.5187            0.327519
         7             44.7897             44.5574             0.28301
         8             43.2069             44.3886            0.293698
         9             43.8013             44.3233            0.268217
        10             45.9684             44.4878            0.287451
        11             43.5989              44.407            0.272443
        12             45.2853             44.4802            0.259385
        13             41.2019              44.228            0.340629
        14              44.715             44.2628             0.31807
        15             45.9523             44.3755            0.316179
        16             45.0456             44.4173            0.299179
        17             45.8609             44.5023            0.293384
        18             43.6096             44.4527            0.281245
        19             44.4155             44.4507            0.266449
        20             45.5215             44.5042             0.25845
