#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.271276            0.271276                   0
         2            0.269019            0.270147         0.000797994
         3            0.270443            0.270246         0.000538045
         4             0.26911            0.269962         0.000472528
         5            0.270839            0.270137         0.000409297
         6            0.271254            0.270323         0.000381048
         7            0.271221            0.270452         0.000347504
         8            0.268326            0.270186         0.000392728
         9            0.269506             0.27011          0.00035628
        10            0.271422            0.270242          0.00034395
        11            0.270336             0.27025         0.000312787
        12            0.270041            0.270233         0.000287209
        13            0.271372             0.27032         0.000278164
        14            0.269351            0.270251         0.000266775
        15             0.27019            0.270247         0.000249021
        16            0.272806            0.270407         0.000280155
        17            0.268532            0.270297         0.000284565
        18            0.270302            0.270297         0.000268756
        19            0.270033            0.270283         0.000254969
        20            0.268046            0.270171         0.000265617
