#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             24.3008             24.3008                   0
         2             23.8737             24.0872            0.150978
         3             25.0826              24.419            0.288996
         4             24.1214             24.3446            0.226125
         5             24.6018             24.3961            0.186658
         6             24.7041             24.4474            0.162457
         7             25.2679             24.5646            0.176537
         8             23.8335             24.4732            0.176548
         9             24.8834             24.5188            0.162707
        10             25.0169             24.5686            0.153871
        11             24.4847              24.561            0.140071
        12             26.2851             24.7047            0.188176
        13             23.8351             24.6378            0.185209
        14             26.3887             24.7628            0.210005
        15             25.2431             24.7949             0.19843
        16             24.6755             24.7874            0.186168
        17             26.1431             24.8671            0.191538
        18             24.4103             24.8418            0.182571
        19             24.8534             24.8424            0.172963
        20             24.2777             24.8141            0.166604
