#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.250234            0.250234                   0
         2             0.24932            0.249777         0.000323216
         3            0.249932            0.249829         0.000219564
         4            0.248494            0.249495         0.000332553
         5            0.249535            0.249503         0.000266137
         6            0.248819            0.249389         0.000244981
         7            0.249436            0.249396         0.000210074
         8            0.247814            0.249198         0.000260757
         9            0.248209            0.249088         0.000253885
        10            0.250345            0.249214         0.000257751
        11            0.247914            0.249096         0.000260005
        12            0.248172            0.249019         0.000249469
        13            0.250588            0.249139         0.000257836
        14            0.247753             0.24904         0.000257743
        15            0.248057            0.248975          0.00024876
        16            0.250398            0.249064         0.000248599
        17            0.247588            0.248977         0.000248661
        18            0.249347            0.248998         0.000235697
        19            0.249131            0.249005         0.000223396
        20            0.247853            0.248947          0.00021952
