#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.430675            0.430675                   0
         2            0.421885             0.42628          0.00310762
         3            0.429791             0.42745          0.00228155
         4             0.42079            0.425785          0.00223773
         5            0.433174            0.427263           0.0022253
         6            0.430742            0.427843          0.00192847
         7             0.44138            0.429777          0.00243682
         8            0.427948            0.429548          0.00214291
         9            0.434651            0.430115           0.0019784
        10            0.428905            0.429994          0.00178426
        11            0.437016            0.430633          0.00173249
        12            0.445106            0.431839          0.00196359
        13            0.427172             0.43148          0.00184507
        14            0.446002            0.432517          0.00198355
        15            0.432929            0.432545          0.00185151
        16            0.432309             0.43253          0.00173584
        17            0.441953            0.433084          0.00171996
        18            0.429787            0.432901          0.00163413
        19            0.435953            0.433062            0.001556
        20             0.42824             0.43282          0.00149676
