#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.554608   -0.554608           0
           2   -0.554486   -0.554547 4.28507e-05
           3   -0.555058   -0.554717 0.000141874
           4   -0.554517   -0.554667 0.000114911
           5   -0.555019   -0.554737 0.000111396
           6   -0.554407   -0.554682 0.000105584
           7   -0.555184   -0.554754 0.000112218
           8   -0.554039   -0.554665 0.000128975
           9   -0.554621    -0.55466 0.000114735
          10   -0.555367   -0.554731 0.000123154
          11   -0.554672   -0.554725 0.000112073
          12   -0.554702   -0.554723  0.00010275
          13   -0.554157    -0.55468 0.000103676
          14    -0.55497     -0.5547 9.83217e-05
          15   -0.555029   -0.554722  9.4172e-05
          16   -0.554492   -0.554708 8.93837e-05
          17   -0.554494   -0.554695 8.50071e-05
          18    -0.55417   -0.554666 8.51402e-05
          19   -0.554306   -0.554647 8.27426e-05
          20   -0.554767   -0.554653 7.88212e-05
