#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       172                 0.8            0.342093           0.0353416
       173                0.84            0.344971           0.0352543
       174                0.96            0.348506           0.0352284
       175                0.88            0.351543           0.0351578
       176                0.76            0.353864           0.0350346
       177                0.68            0.355706            0.034885
       178                0.76            0.357978           0.0347629
       179                0.84             0.36067           0.0346729
       180                0.92            0.363778           0.0346192
       181                0.76            0.365967           0.0344971
       182                0.52            0.366813           0.0343179
       183                0.48            0.367432           0.0341359
       184                0.52            0.368261           0.0339605
       185                0.56            0.369297           0.0337927
       186                0.36            0.369247           0.0336111
       187                 0.4            0.369412           0.0334318
       188                0.56            0.370426           0.0332693
       189                0.32            0.370159           0.0330943
       190                0.36            0.370105           0.0329202
       191                 0.4            0.370262           0.0327482
       192                0.24            0.369583           0.0325847
       193                0.32            0.369326           0.0324169
       194                0.12            0.368041           0.0322752
       195                0.24            0.367385           0.0321164
       196                0.32            0.367143           0.0319534
       197                0.44            0.367513           0.0317934
       198                 0.6            0.368687           0.0316545
       199                0.72            0.370452           0.0315446
       200                0.76              0.3724            0.031447
       201                0.72            0.374129            0.031338
       202                0.36            0.374059            0.031183
       203                0.36             0.37399           0.0310294
       204                0.64            0.375294           0.0309047
       205                0.64            0.376585           0.0307809
       206                0.44            0.376893            0.030633
       207                0.52            0.377585           0.0304928
       208                0.36              0.3775           0.0303464
       209                0.44            0.377799           0.0302026
       210                0.44            0.378095           0.0300603
       211                0.28             0.37763           0.0299214
       212                0.32            0.377358           0.0297815
       213                0.36            0.377277           0.0296418
       214                0.32            0.377009           0.0295045
       215                0.32            0.376744           0.0293684
       216                0.36            0.376667           0.0292326
       217                0.28            0.376221           0.0291013
       218                 0.4             0.37633            0.028968
       219                0.12             0.37516           0.0288593
       220                   0            0.373455           0.0287785
       221                0.08            0.372127           0.0286789
       222                0.12            0.370991           0.0285722
       223               -0.04            0.369148           0.0285034
       224               -0.16            0.366786           0.0284739
       225               -0.12            0.364622           0.0284294
       226               -0.24            0.361947           0.0284292
       227                -0.2            0.359471           0.0284116
       228               -0.48            0.355789           0.0285245
       229               -0.44            0.352314           0.0286109
       230               -0.52            0.348522           0.0287368
       231                -0.4            0.345281           0.0287945
       232               -0.36            0.342241           0.0288304
       233               -0.44            0.338884           0.0289015
       234                -0.4            0.335726           0.0289499
       235                -0.4            0.332596           0.0289955
       236               -0.44            0.329322           0.0290569
       237               -0.48            0.325907           0.0291343
       238               -0.24            0.323529           0.0291087
       239               -0.28            0.321004           0.0290962
       240               -0.36            0.318167            0.029113
       241               -0.44            0.315021           0.0291617
       242                -0.4            0.312066           0.0291905
       243               -0.32            0.309465            0.029186
       244               -0.32            0.306885           0.0291802
       245               -0.28             0.30449           0.0291593
       246               -0.28            0.302114           0.0291374
       247               -0.16            0.300243           0.0290794
       248               -0.28            0.297903           0.0290561
       249               -0.52            0.294618           0.0291245
       250                -0.6             0.29104            0.029227
       251               -0.44            0.288127           0.0292554
       252               -0.52            0.284921           0.0293145
       253               -0.48            0.281897           0.0293541
       254               -0.52             0.27874           0.0294078
       255               -0.52            0.275608           0.0294589
       256               -0.48            0.272656           0.0294913
       257               -0.36            0.270195           0.0294791
       258               -0.04            0.268992           0.0293893
       259                   0            0.267954           0.0292942
       260                0.08            0.267231           0.0291905
       261                   0            0.266207           0.0290966
       262                   0            0.265191           0.0290032
       263               -0.04             0.26403           0.0289162
       264               -0.08            0.262727            0.028836
       265               -0.16            0.261132           0.0287713
       266               -0.68            0.257594           0.0288798
       267               -0.64            0.254232           0.0289667
       268                -0.4            0.251791           0.0289613
       269               -0.32            0.249665           0.0289315
       270                -0.2               0.248           0.0288722
       271               -0.12            0.246642           0.0287976
       272               -0.12            0.245294           0.0287233
       273               -0.16             0.24381           0.0286564
       274                0.04            0.243066           0.0285615
       275                0.28              0.2432           0.0284579
       276                0.44            0.243913           0.0283638
       277                 0.2            0.243755           0.0282618
       278                0.44             0.24446            0.028169
       279                0.24            0.244444            0.028068
       280                 0.2            0.244286           0.0279682
       281                0.32            0.244555             0.02787
       282                 0.4            0.245106           0.0277766
       283                0.24            0.245088           0.0276784
       284                0.28            0.245211           0.0275813
       285                0.28            0.245333           0.0274847
       286                0.28            0.245455           0.0273889
       287                0.36            0.245854           0.0272964
       288                0.36             0.24625           0.0272045
       289                0.28            0.246367           0.0271106
       290                0.32            0.246621           0.0270183
       291                 0.2             0.24646           0.0269259
       292                 0.2            0.246301           0.0268342
       293                0.24             0.24628           0.0267426
       294                 0.2            0.246122           0.0266521
       295                0.16            0.245831           0.0265634
       296                0.16            0.245541           0.0264752
       297                 0.2            0.245387           0.0263865
       298                0.16            0.245101           0.0262995
       299               -0.08            0.244013            0.026234
       300               -0.04            0.243067           0.0261637
       301                0.04            0.242392           0.0260854
       302                0.08            0.241854           0.0260046
       303                   0            0.241056            0.025931
       304               -0.12            0.239868           0.0258729
       305               -0.16            0.238557           0.0258213
       306                0.16            0.238301           0.0257382
       307                 0.4            0.238827           0.0256597
       308                0.32            0.239091           0.0255778
       309                0.28            0.239223           0.0254953
       310                0.24            0.239226           0.0254131
       311                   0            0.238457            0.025343
       312                0.12            0.238077           0.0252646
       313                0.04            0.237444           0.0251918
       314               -0.08            0.236433           0.0251319
       315               -0.16            0.235175           0.0250836
       316               -0.08            0.234177            0.025024
       317                0.04            0.233565           0.0249526
       318               -0.08            0.232579           0.0248936
       319               -0.04            0.231724           0.0248302
       320                0.04            0.231125           0.0247599
       321                0.16            0.230903           0.0246837
       322                   0            0.230186           0.0246175
       323                0.28            0.230341           0.0245417
       324                0.44            0.230988           0.0244745
       325                0.52            0.231877           0.0244154
       326                0.76            0.233497           0.0243942
       327                0.68            0.234862           0.0243577
       328                0.68             0.23622           0.0243213
       329                0.48             0.23696           0.0242586
       330                0.52            0.237818           0.0242003
       331                0.52            0.238671           0.0241422
       332                0.36            0.239036           0.0240722
       333                0.24            0.239039           0.0239999
       334                   0            0.238323           0.0239387
       335                   0            0.237612           0.0238779
       336                 0.2              0.2375            0.023807
       337                   0            0.236795           0.0237468
       338               -0.12             0.23574              0.0237
       339                   0            0.235044           0.0236403
       340                 0.2            0.234941            0.023571
       341                0.24            0.234956           0.0235019
