#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         153     -0.7704   -0.776178  0.00803107
         154     -0.7696   -0.776135  0.00797903
         155     -0.7752   -0.776129  0.00792756
         156     -0.8568   -0.776646  0.00789359
         157     -0.6904   -0.776097   0.0078624
         158      -0.692   -0.775565  0.00783063
         159      -0.688   -0.775014  0.00780073
         160     -0.6056   -0.773955   0.0078235
         161     -0.6072   -0.772919  0.00784317
         162     -0.4456   -0.770899   0.0080508
         163     -0.6088   -0.769904   0.0080626
         164     -0.6896   -0.769415  0.00802829
         165     -0.7712   -0.769425  0.00797964
         166     -0.8544   -0.769937  0.00794797
         167     -0.8544   -0.770443  0.00791646
         168     -0.8544   -0.770943  0.00788509
         169     -0.6936   -0.770485   0.0078517
         170     -0.8536   -0.770974  0.00782072
         171     -0.9352   -0.771935  0.00783373
         172      -0.936   -0.772888  0.00784605
         173     -0.9368   -0.773836  0.00785769
         174     -0.9392   -0.774786   0.0078698
         175     -0.9376   -0.775717  0.00787963
         176     -0.6952   -0.775259  0.00784813
         177     -0.7736    -0.77525  0.00780379
         178     -0.8552   -0.775699  0.00777287
         179     -0.9368   -0.776599  0.00778137
         180     -0.9384   -0.777498  0.00778989
         181     -0.8552   -0.777927  0.00775867
         182     -0.8504   -0.778325  0.00772625
         183     -0.8496   -0.778715  0.00769384
         184     -0.7704    -0.77867  0.00765216
         185     -0.7712   -0.778629  0.00761091
         186     -0.6072   -0.777708  0.00762559
         187      -0.608     -0.7768  0.00763862
         188     -0.7712    -0.77677  0.00759805
         189     -0.8464   -0.777139  0.00756677
         190     -0.8472   -0.777507  0.00753593
         191      -0.848   -0.777876  0.00750551
         192     -0.7648   -0.777808  0.00746672
         193     -0.7664   -0.777749  0.00742827
         194     -0.6824   -0.777258  0.00740622
         195     -0.7648   -0.777194  0.00736852
         196     -0.7664   -0.777139  0.00733113
         197     -0.7688   -0.777096  0.00729404
         198      -0.772   -0.777071  0.00725724
         199     -0.7744   -0.777057  0.00722079
         200     -0.7752   -0.777048  0.00718469
         201     -0.7744   -0.777035  0.00714896
         202     -0.6872    -0.77659  0.00712739
         203     -0.6872    -0.77615  0.00710586
         204     -0.6128   -0.775349    0.007116
         205     -0.6128   -0.774556  0.00712533
         206     -0.6888    -0.77414  0.00710289
         207     -0.7704   -0.774122   0.0070686
         208     -0.6872   -0.773704  0.00704696
         209     -0.6888   -0.773298  0.00702494
         210     -0.6888   -0.772895  0.00700301
         211     -0.7656   -0.772861   0.0069699
         212     -0.7664    -0.77283  0.00693709
         213     -0.7672   -0.772804  0.00690457
         214     -0.8464   -0.773148  0.00688087
         215     -0.8464   -0.773488  0.00685729
         216     -0.8472    -0.77383  0.00683403
         217     -0.7656   -0.773792  0.00680265
         218      -0.848   -0.774132  0.00677995
         219     -0.8424   -0.774444  0.00675616
         220       -0.84   -0.774742  0.00673201
         221     -0.8416   -0.775044  0.00670835
         222     -0.8424   -0.775348  0.00668499
         223     -0.7592   -0.775275   0.0066554
         224     -0.7568   -0.775193   0.0066262
         225     -0.5176   -0.774048  0.00669492
         226     -0.5952   -0.773257  0.00671191
         227      -0.676   -0.772828    0.006696
         228     -0.7504    -0.77273  0.00666735
         229     -0.6712   -0.772286  0.00665296
         230     -0.8296   -0.772536   0.0066287
         231      -0.912   -0.773139  0.00662744
         232     -0.9128   -0.773741  0.00662616
         233     -0.9112   -0.774331  0.00662393
         234      -0.912    -0.77492   0.0066217
         235      -0.912   -0.775503  0.00661917
         236     -0.9112   -0.776078  0.00661605
         237     -0.8304   -0.776307   0.0065921
         238     -0.8352   -0.776555  0.00656904
         239     -0.7544   -0.776462  0.00654221
         240     -0.7528   -0.776363   0.0065157
         241     -0.7512   -0.776259   0.0064895
         242      -0.752   -0.776159  0.00646346
         243     -0.8336   -0.776395  0.00644118
         244     -0.8336    -0.77663  0.00641904
         245     -0.8344   -0.776865  0.00639717
         246     -0.8344   -0.777099  0.00637544
         247     -0.7568   -0.777017  0.00635016
         248     -0.8344   -0.777248  0.00632877
         249     -0.9096    -0.77778  0.00632563
         250      -0.828   -0.777981  0.00630352
         251     -0.9112   -0.778512  0.00630071
         252     -0.9096   -0.779032  0.00629715
         253     -0.9104   -0.779551  0.00629363
         254     -0.9096   -0.780063  0.00628964
         255     -0.8296   -0.780257  0.00626798
         256     -0.9104   -0.780766  0.00626407
         257     -0.8328   -0.780968  0.00624297
         258     -0.6792   -0.780574  0.00623122
         259       -0.68   -0.780185  0.00621925
         260     -0.8416   -0.780422  0.00619982
         261       -0.76   -0.780343  0.00617655
         262       -0.68    -0.77996  0.00616484
         263     -0.7592   -0.779881  0.00614191
         264     -0.7584     -0.7798  0.00611918
         265     -0.6768   -0.779411  0.00610842
         266     -0.9064   -0.779889  0.00610409
         267     -0.9072   -0.780366  0.00609982
         268      -0.752    -0.78026  0.00607798
         269     -0.7536   -0.780161  0.00605619
         270      -0.676   -0.779775  0.00604603
         271     -0.6776   -0.779398  0.00603547
         272     -0.7576   -0.779318  0.00601381
         273     -0.7568   -0.779235  0.00599235
         274     -0.7608   -0.779168  0.00597086
         275     -0.7656   -0.779119  0.00594935
         276     -0.7688   -0.779081  0.00592791
         277      -0.684   -0.778738  0.00591644
         278     -0.7688   -0.778702  0.00589526
         279     -0.7648   -0.778652  0.00587434
         280      -0.684   -0.778314  0.00586308
         281     -0.6864   -0.777987  0.00585134
         282      -0.688   -0.777668  0.00583928
