0 0 0
-0.492662 0.85025 0.18536
-0.487432 -0.143254 0.299033
-0.371188 0.849966 0.298035
-1.20014 0.61777 0.806876
-0.481746 -0.0438453 0.592002
0.295514 -0.476823 1.04851
1.08135 -0.207964 1.60544
1.96653 0.256884 1.58573
2.77571 -0.232179 1.2601
2.6661 0.718765 1.5494
3.39359 0.477716 0.907023
4.15885 0.0637914 0.414021
4.7592 0.662526 -0.116167
4.10998 0.00846927 0.272063
4.02785 0.391167 -0.648153
3.88767 0.472371 0.338638
3.91274 -0.107495 -0.475688
3.20043 0.200991 0.154753
2.43069 0.794805 0.389036
2.65913 -0.0236093 -0.138232
3.64948 0.110323 -0.17398
3.5245 0.655643 -1.00284
3.04526 -0.160211 -0.679243
3.79545 -0.734908 -1.00624
4.71905 -0.366594 -1.11262
5.33422 0.314299 -0.71519
5.04924 0.278364 0.242668
5.17519 -0.0288816 1.18593
4.76454 -0.0866677 0.275966
4.02589 -0.44197 -0.296888
3.55061 -1.25279 0.0446876
3.59259 -0.273494 0.242705
4.51069 -0.483796 -0.0932388
5.35429 -0.200935 0.363204
5.9396 0.490328 0.786949
6.50848 -0.0257257 1.42731
6.5888 0.839926 0.933149
6.62307 0.0980951 1.60286
7.16541 -0.706524 1.36108
7.44753 -1.55747 0.918018
7.45042 -2.55733 0.934449
8.15213 -2.50951 1.64531
8.39534 -1.89431 2.39522
9.00755 -2.34763 3.04307
9.14659 -2.19378 4.02133
8.67093 -2.28447 4.89627
9.31749 -1.73919 4.36276
9.80597 -2.42353 3.82141
10.4195 -2.05717 4.52093
10.0172 -2.52725 3.73533
9.42167 -1.84625 3.3092
8.80147 -2.48564 3.76367
7.90984 -2.72637 4.14712
7.14578 -3.27726 3.81135
7.05316 -2.6737 3.01943
6.97406 -3.14899 2.14317
7.4868 -2.3719 2.50817
7.31349 -2.71174 1.5838
7.04107 -2.07886 2.30854
6.18421 -1.61343 2.53028
7.08609 -1.52945 2.95403
7.60855 -0.728405 2.66186
8.19127 -1.49452 2.93298
8.73536 -0.666923 2.795
9.26743 -0.469176 3.61828
9.11299 -1.42154 3.88124
9.1477 -1.32558 2.88646
9.78722 -1.75756 3.52239
9.89915 -1.487 2.56621
9.72854 -2.47148 2.52501
9.21026 -3.13494 3.06464
9.16053 -3.83623 2.35352
9.10529 -3.06484 1.71956
8.81756 -3.92564 2.13936
8.74705 -4.90626 1.95658
8.32371 -4.05012 1.66026
8.46514 -3.21442 2.19092
7.86576 -2.78172 1.51748
8.35747 -2.78722 0.64674
9.23563 -3.26392 0.686731
8.53085 -3.57058 1.32645
8.73454 -4.52877 1.12551
8.14689 -5.03158 0.491593
7.73725 -5.93151 0.342203
8.63619 -6.26698 0.623931
9.31833 -5.65464 1.02359
9.14873 -5.1449 1.86703
8.61461 -5.09101 2.71073
8.30326 -4.31927 3.26523
8.6271 -3.47462 3.69149
8.52501 -2.49581 3.869
7.81514 -1.86721 3.55129
7.83281 -0.893184 3.77704
8.37476 -1.71555 3.60385
7.71738 -2.39995 3.2885
8.11496 -2.83041 4.09883
7.96778 -1.88387 3.8118
7.16871 -1.89904 4.41285
8.10836 -1.84895 4.07439
7.13637 -1.8189 3.84127
7.55998 -2.03182 4.72174
7.38468 -1.84137 5.68766
8.28171 -1.56536 5.34245
8.11887 -0.985242 6.14054
8.62562 -0.804838 6.98355
8.99789 -1.18663 7.82951
8.12732 -1.36623 8.28762
7.90348 -0.808038 9.08656
7.65979 -0.753623 8.11824
7.17813 -1.40179 7.52843
6.23325 -1.71944 7.60782
6.86277 -1.41442 8.32243
6.47251 -0.537595 8.04159
7.22993 -1.0439 8.45387
6.54704 -1.71072 8.75223
5.83841 -1.20917 8.25595
6.01567 -1.27485 7.27398
6.0103 -1.23373 6.27484
6.80281 -0.708636 5.96467
7.56705 -0.510524 6.57842
7.54745 -1.50871 6.63532
6.66328 -1.39053 7.08731
6.5619 -0.402515 7.20368
6.72662 -1.15201 7.84487
6.17357 -1.72385 8.45079
6.47958 -1.54923 9.38667
6.26068 -2.2311 10.0846
5.37042 -2.31911 10.5315
6.28748 -1.94418 10.3957
6.20541 -1.69685 11.3612
6.96526 -2.33049 11.5065
6.29602 -1.75454 11.976
