#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
       8      14            5.8              0              0              0
       8      15            6.2              0              0              0
       8      16            6.6              0              0              0
       8      17              7              0              0              0
       8      18            7.4              0              0              0
       8      19            7.8              0              0              0
       9       0            0.2      0.0143519     0.00666152     0.00234174
       9       1            0.6      0.0636574      0.0475566      0.0105137
       9       2              1       0.250694      0.0981996      0.0270478
       9       3            1.4       0.383796       0.212526      0.0469913
       9       4            1.8       0.552315       0.372505       0.051677
       9       5            2.2       0.299537        0.51232      0.0502531
       9       6            2.6       0.335417       0.643107        0.14357
       9       7              3       0.210417       0.321373      0.0509601
       9       8            3.4       0.195833       0.182459      0.0342885
       9       9            3.8       0.141667      0.0722479      0.0170671
       9      10            4.2      0.0240741      0.0202932     0.00659219
       9      11            4.6      0.0282407     0.00825617     0.00360193
       9      12              5              0     0.00249486     0.00188996
       9      13            5.4              0              0              0
       9      14            5.8              0              0              0
       9      15            6.2              0              0              0
       9      16            6.6              0              0              0
       9      17              7              0              0              0
       9      18            7.4              0              0              0
       9      19            7.8              0              0              0
      10       0            0.2     0.00115741     0.00611111     0.00217129
      10       1            0.6       0.103241       0.053125      0.0108371
      10       2              1       0.312037       0.119583      0.0316878
      10       3            1.4        0.38125       0.229398      0.0452199
      10       4            1.8       0.449306       0.380185      0.0470765
      10       5            2.2       0.359491       0.497037      0.0474949
      10       6            2.6       0.336111       0.612407       0.132454
      10       7              3       0.276157       0.316852      0.0460643
      10       8            3.4       0.081713       0.172384      0.0323058
      10       9            3.8       0.106944      0.0757176      0.0157091
      10      10            4.2      0.0372685      0.0219907     0.00614765
      10      11            4.6      0.0553241       0.012963     0.00551791
      10      12              5              0     0.00224537     0.00171735
      10      13            5.4              0              0              0
      10      14            5.8              0              0              0
      10      15            6.2              0              0              0
      10      16            6.6              0              0              0
      10      17              7              0              0              0
      10      18            7.4              0              0              0
      10      19            7.8              0              0              0
      11       0            0.2              0     0.00555556     0.00204374
      11       1            0.6       0.101389      0.0575126      0.0107033
      11       2              1       0.327083       0.138447      0.0339608
      11       3            1.4       0.424537       0.247138      0.0444527
      11       4            1.8       0.468981       0.388258      0.0434834
      11       5            2.2       0.304167       0.479503      0.0463006
      11       6            2.6       0.336111        0.58729       0.122771
      11       7              3       0.302315        0.31553      0.0418955
      11       8            3.4      0.0516204       0.161406      0.0311786
      11       9            3.8       0.111806      0.0789983      0.0146196
      11      10            4.2      0.0458333      0.0241582     0.00595864
      11      11            4.6      0.0261574      0.0141625       0.005145
      11      12              5              0     0.00204125     0.00157331
      11      13            5.4              0              0              0
      11      14            5.8              0              0              0
      11      15            6.2              0              0              0
      11      16            6.6              0              0              0
      11      17              7              0              0              0
      11      18            7.4              0              0              0
      11      19            7.8              0              0              0
      12       0            0.2      0.0166667     0.00648148     0.00207259
      12       1            0.6       0.112963      0.0621335      0.0107627
      12       2              1        0.32037       0.153607      0.0343483
      12       3            1.4       0.366667       0.257099      0.0418494
      12       4            1.8       0.485185       0.396335      0.0406031
      12       5            2.2       0.347685       0.468519      0.0437259
      12       6            2.6       0.269907       0.560841       0.115354
      12       7              3       0.322685       0.316127      0.0384085
      12       8            3.4      0.0456019       0.151755      0.0300368
      12       9            3.8       0.137269      0.0838542      0.0141848
      12      10            4.2      0.0615741      0.0272762     0.00622464
      12      11            4.6      0.0134259      0.0141011     0.00471662
      12      12              5              0     0.00187114     0.00145137
      12      13            5.4              0              0              0
      12      14            5.8              0              0              0
      12      15            6.2              0              0              0
      12      16            6.6              0              0              0
      12      17              7              0              0              0
      12      18            7.4              0              0              0
      12      19            7.8              0              0              0
      13       0            0.2      0.0365741      0.0087963     0.00293366
      13       1            0.6       0.181481      0.0713141      0.0132854
      13       2              1          0.225       0.159099      0.0321422
      13       3            1.4       0.427315       0.270192      0.0406269
      13       4            1.8       0.481944        0.40292        0.03801
      13       5            2.2       0.304398       0.455894      0.0421455
      13       6            2.6       0.269213       0.538408        0.10864
      13       7              3       0.313889       0.315954      0.0354544
      13       8            3.4      0.0951389         0.1474      0.0280402
      13       9            3.8      0.0865741      0.0840634      0.0130952
      13      10            4.2      0.0784722      0.0312144     0.00687971
      13      11            4.6              0      0.0130164     0.00447679
      13      12              5              0     0.00172721     0.00134685
      13      13            5.4              0              0              0
      13      14            5.8              0              0              0
      13      15            6.2              0              0              0
      13      16            6.6              0              0              0
      13      17              7              0              0              0
      13      18            7.4              0              0              0
      13      19            7.8              0              0              0
      14       0            0.2      0.0532407      0.0119709     0.00409622
      14       1            0.6       0.154861      0.0772817      0.0136109
      14       2              1       0.230787        0.16422      0.0302514
      14       3            1.4       0.425926       0.281316      0.0392183
      14       4            1.8        0.48588       0.408846      0.0357539
      14       5            2.2       0.363889       0.449322      0.0396442
      14       6            2.6       0.296759       0.521147       0.102242
      14       7              3        0.25787       0.311806      0.0331638
      14       8            3.4        0.06875       0.141782      0.0265941
      14       9            3.8      0.0465278      0.0813823      0.0124313
      14      10            4.2      0.0953704       0.035797     0.00776598
      14      11            4.6      0.0201389      0.0135251     0.00418583
      14      12              5              0     0.00160384     0.00125628
      14      13            5.4              0              0              0
      14      14            5.8              0              0              0
      14      15            6.2              0              0              0
      14      16            6.6              0              0              0
      14      17              7              0              0              0
      14      18            7.4              0              0              0
      14      19            7.8              0              0              0
      15       0            0.2      0.0976852      0.0176852      0.0067151
      15       1            0.6       0.144213      0.0817438       0.013415
      15       2              1       0.186806       0.165725      0.0282721
      15       3            1.4       0.474537       0.294198      0.0386614
      15       4            1.8       0.453241       0.411806      0.0334926
      15       5            2.2       0.376157       0.444444      0.0373001
      15       6            2.6        0.33125       0.508488      0.0962066
      15       7              3        0.22037        0.30571      0.0315081
      15       8            3.4      0.0537037        0.13591      0.0254612
      15       9            3.8      0.0641204      0.0802315      0.0116557
      15      10            4.2      0.0747685      0.0383951     0.00767054
      15      11            4.6      0.0231481      0.0141667     0.00395563
      15      12              5              0     0.00149691     0.00117707
      15      13            5.4              0              0              0
      15      14            5.8              0              0              0
      15      15            6.2              0              0              0
      15      16            6.6              0              0              0
      15      17              7              0              0              0
      15      18            7.4              0              0              0
      15      19            7.8              0              0              0
      16       0            0.2      0.0342593      0.0187211     0.00637481
      16       1            0.6       0.162963        0.08682      0.0135028
      16       2              1       0.175926       0.166363      0.0265123
      16       3            1.4       0.549074       0.310127      0.0393904
      16       4            1.8       0.460648       0.414858      0.0315381
      16       5            2.2       0.367824       0.439656      0.0352749
      16       6            2.6       0.324769       0.497005      0.0908763
      16       7              3       0.175231       0.297555       0.030576
      16       8            3.4      0.0872685        0.13287      0.0240507
      16       9            3.8      0.0581019      0.0788484      0.0110089
      16      10            4.2      0.0821759      0.0411314     0.00766367
      16      11            4.6      0.0217593      0.0146412     0.00373676
      16      12              5              0     0.00140336     0.00110721
      16      13            5.4              0              0              0
      16      14            5.8              0              0              0
      16      15            6.2              0              0              0
      16      16            6.6              0              0              0
      16      17              7              0              0              0
      16      18            7.4              0              0              0
      16      19            7.8              0              0              0
      17       0            0.2              0      0.0176198     0.00609419
      17       1            0.6       0.175694      0.0920479      0.0136832
      17       2              1       0.181944       0.167279      0.0249686
      17       3            1.4        0.55787         0.3247      0.0396776
      17       4            1.8       0.452546       0.417075      0.0297608
      17       5            2.2       0.399074       0.437269      0.0332806
      17       6            2.6       0.344676       0.488045      0.0859713
      17       7              3       0.170139        0.29006      0.0296818
      17       8            3.4      0.0560185        0.12835      0.0230569
      17       9            3.8       0.087037      0.0793301      0.0103719
      17      10            4.2          0.075      0.0431236     0.00746733
      17      11            4.6              0        0.01378     0.00361484
      17      12              5              0     0.00132081     0.00104516
      17      13            5.4              0              0              0
      17      14            5.8              0              0              0
      17      15            6.2              0              0              0
      17      16            6.6              0              0              0
      17      17              7              0              0              0
      17      18            7.4              0              0              0
      17      19            7.8              0              0              0
      18       0            0.2     0.00717593      0.0170396     0.00578318
      18       1            0.6       0.107407      0.0929012      0.0129496
      18       2              1       0.216667       0.170023      0.0237317
      18       3            1.4       0.573148       0.338503      0.0398017
      18       4            1.8       0.519907       0.422788      0.0286505
      18       5            2.2           0.35        0.43242      0.0317828
      18       6            2.6       0.318056       0.478601      0.0817121
      18       7              3       0.201852       0.285159      0.0284345
      18       8            3.4      0.0655093       0.124859      0.0220387
      18       9            3.8       0.115509        0.08134     0.00998852
      18      10            4.2     0.00462963      0.0409851     0.00735233
      18      11            4.6      0.0201389      0.0141332     0.00343123
      18      12              5              0     0.00124743    0.000989665
      18      13            5.4              0              0              0
      18      14            5.8              0              0              0
      18      15            6.2              0              0              0
      18      16            6.6              0              0              0
      18      17              7              0              0              0
      18      18            7.4              0              0              0
      18      19            7.8              0              0              0
      19       0            0.2      0.0231481      0.0173611     0.00548773
      19       1            0.6         0.0875       0.092617      0.0122712
      19       2              1       0.243287       0.173879      0.0227938
      19       3            1.4       0.550463       0.349659      0.0392392
      19       4            1.8        0.52338       0.428082      0.0276274
      19       5            2.2        0.33912        0.42751       0.030487
      19       6            2.6       0.341204       0.471369      0.0777308
      19       7              3       0.161806       0.278667      0.0276692
      19       8            3.4      0.0893519        0.12299      0.0209578
      19       9            3.8       0.122222      0.0834917     0.00969179
      19      10            4.2      0.0145833      0.0395955     0.00709547
      19      11            4.6     0.00393519      0.0135965     0.00329235
      19      12              5              0     0.00118177    0.000939752
      19      13            5.4              0              0              0
      19      14            5.8              0              0              0
      19      15            6.2              0              0              0
      19      16            6.6              0              0              0
      19      17              7              0              0              0
      19      18            7.4              0              0              0
      19      19            7.8              0              0              0
      20       0            0.2      0.0224537      0.0176157     0.00521925
      20       1            0.6       0.156944      0.0958333      0.0120718
      20       2              1       0.237037       0.177037      0.0218718
      20       3            1.4        0.51088        0.35772      0.0380962
      20       4            1.8       0.494676       0.431412      0.0264459
      20       5            2.2       0.330324        0.42265      0.0293474
      20       6            2.6       0.345139       0.465058      0.0741001
      20       7              3       0.148843       0.272176      0.0270364
      20       8            3.4       0.117593        0.12272      0.0199117
      20       9            3.8       0.134259      0.0860301     0.00953382
      20      10            4.2     0.00185185      0.0377083     0.00698715
      20      11            4.6              0      0.0129167     0.00319715
      20      12              5              0     0.00112269    0.000894621
      20      13            5.4              0              0              0
      20      14            5.8              0              0              0
      20      15            6.2              0              0              0
      20      16            6.6              0              0              0
      20      17              7              0              0              0
      20      18            7.4              0              0              0
      20      19            7.8              0              0              0
