#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
       7      17              7              0              0              0
       7      18            7.4              0              0              0
       7      19            7.8              0              0              0
       8       0            0.2      0.0462963      0.0189525     0.00616889
       8       1            0.6      0.0550926      0.0559028     0.00551046
       8       2              1       0.242361       0.188802      0.0106851
       8       3            1.4       0.238657       0.254022      0.0154194
       8       4            1.8       0.453241       0.359057      0.0198865
       8       5            2.2       0.326389       0.444792      0.0212015
       8       6            2.6       0.494444        0.45026     0.00994389
       8       7              3       0.308333       0.341753      0.0133369
       8       8            3.4      0.0784722       0.191233      0.0276646
       8       9            3.8       0.168519       0.105584      0.0140312
       8      10            4.2      0.0569444      0.0472222     0.00984341
       8      11            4.6     0.00810185      0.0179977     0.00449265
       8      12              5              0     0.00390625     0.00198768
       8      13            5.4              0     0.00448495     0.00251285
       8      14            5.8     0.00509259     0.00581597      0.0025969
       8      15            6.2      0.0180556     0.00746528     0.00294962
       8      16            6.6              0     0.00274884     0.00257131
       8      17              7              0              0              0
       8      18            7.4              0              0              0
       8      19            7.8              0              0              0
       9       0            0.2      0.0099537      0.0179527      0.0055639
       9       1            0.6      0.0831019      0.0589249     0.00566663
       9       2              1        0.32338       0.203755      0.0169988
       9       3            1.4        0.36412       0.266255      0.0179132
       9       4            1.8       0.329167       0.355736       0.017952
       9       5            2.2       0.346296       0.433848      0.0214855
       9       6            2.6       0.421991       0.447119     0.00932193
       9       7              3         0.2875       0.335725       0.013147
       9       8            3.4       0.101852       0.181301       0.026313
       9       9            3.8       0.132176       0.108539      0.0127795
       9      10            4.2      0.0650463      0.0492027     0.00894671
       9      11            4.6      0.0122685      0.0173611     0.00403831
       9      12              5              0     0.00347222     0.00181359
       9      13            5.4              0     0.00398663     0.00228252
       9      14            5.8      0.0231481     0.00774177     0.00293686
       9      15            6.2              0      0.0066358     0.00273603
       9      16            6.6              0     0.00244342     0.00230367
       9      17              7              0              0              0
       9      18            7.4              0              0              0
       9      19            7.8              0              0              0
      10       0            0.2      0.0037037      0.0165278     0.00518676
      10       1            0.6       0.127083      0.0657407     0.00823528
      10       2              1       0.276852       0.211065      0.0167972
      10       3            1.4       0.396991       0.279329      0.0203406
      10       4            1.8       0.394907       0.359653      0.0165787
      10       5            2.2       0.287269        0.41919      0.0238178
      10       6            2.6       0.352778       0.437685      0.0122675
      10       7              3       0.299074        0.33206      0.0123326
      10       8            3.4        0.16875       0.180046      0.0237117
      10       9            3.8       0.138657       0.111551      0.0118511
      10      10            4.2       0.030787      0.0473611     0.00823939
      10      11            4.6              0       0.015625     0.00399025
      10      12              5              0       0.003125     0.00166514
      10      13            5.4     0.00393519     0.00398148     0.00205427
      10      14            5.8       0.019213     0.00888889     0.00285844
      10      15            6.2              0     0.00597222     0.00254162
      10      16            6.6              0     0.00219907     0.00208622
      10      17              7              0              0              0
      10      18            7.4              0              0              0
      10      19            7.8              0              0              0
      11       0            0.2      0.0277778      0.0175505     0.00481501
      11       1            0.6       0.130324       0.071612     0.00934809
      11       2              1       0.208102       0.210795      0.0152723
      11       3            1.4       0.427083       0.292761      0.0224935
